rank,client_hash_id,content_hash_id,predicted_decline_prob,baseline_score,content_archetype,recommended_action,priority_tier,effort_hours_assumption,safety_guardrail,gsc_impressions_apr,gsc_clicks_apr,gsc_avg_position_apr,ga4_pageviews_apr,reason_codes
3574,client_62f4a7e64f5e0096,content_c270bdc65fd2333b,0.5598012482732186,1.0,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P2_Review,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,12051.0,23.0,4.571490558158961,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
3575,client_08a6a72ff48e62c0,content_07c2d3931ab3a789,0.5597860800816262,1.0,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P2_Review,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,8858.0,21.0,4.954529725844649,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
3576,client_62f4a7e64f5e0096,content_d85dcbb047d90b42,0.5597567288062845,1.0,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P2_Review,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,10152.0,27.0,3.226150627439166,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
3577,client_62f4a7e64f5e0096,content_04945bb007196030,0.5597388876766172,1.0,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P2_Review,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,12179.0,20.0,6.1177817806573715,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
3578,client_73cda7b4e4f265ea,content_47dee33b7417eaa9,0.5597191970337725,1.3333333333333333,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P2_Review,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,12085.0,16.0,5.953760693212909,15.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
3579,client_62f4a7e64f5e0096,content_9d682d28c2809137,0.5596632220808576,1.0,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P2_Review,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,30592.0,22.0,5.198146899495488,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
3580,client_62f4a7e64f5e0096,content_2859336fff68fa80,0.5596527719446587,1.0,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P2_Review,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,25216.0,16.0,7.894203055311428,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
3581,client_a80fca3f171ed1de,content_aaf3eb315b560005,0.5596493381275157,1.4666666666666666,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P2_Review,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,32254.0,40.0,4.639061435906762,14.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR
3582,client_23a62021009f63c4,content_87e32245ed16da45,0.559628586847727,2.7333333333333334,High Historical Traffic / Higher Decline Risk,"Review for substantive content freshness, factual accuracy, intent alignment, and technical issues.",P2_Review,5.0,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,3414.0,19.0,27.921055208975705,52.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | HIGH_HISTORICAL_TRAFFIC_MODEL_RISK | HIGH_W04_BASELINE_SIGNAL
3583,client_08a6a72ff48e62c0,content_05fd36dfc57842c7,0.559620703987782,1.0,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P2_Review,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,9791.0,15.0,7.94590059064699,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
3584,client_08a6a72ff48e62c0,content_5ba55d090b38a53a,0.5596175692489078,1.0333333333333334,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P2_Review,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,1891.0,17.0,5.9932776016433005,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
3585,client_20259bd6705d81d4,content_1dd45a34666ee684,0.5595435425610354,2.033333333333333,Striking Distance / Search Visibility,"Review title/meta alignment, search intent, SERP competition, and page structure.",P2_Review,2.0,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,1289.0,19.0,12.834893591484134,18.0,HIGH_MODEL_DECLINE_RISK | STRIKING_DISTANCE_POS_8_20 | LOW_CTR_HIGH_SEARCH_IMPR | HIGH_W04_BASELINE_SIGNAL
3586,client_20259bd6705d81d4,content_2759eaaa61add2f5,0.5595145547987858,2.7333333333333334,Striking Distance / Search Visibility,"Review title/meta alignment, search intent, SERP competition, and page structure.",P2_Review,2.0,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,10620.0,48.0,17.566415900910894,57.0,HIGH_MODEL_DECLINE_RISK | STRIKING_DISTANCE_POS_8_20 | LOW_CTR_HIGH_SEARCH_IMPR | HIGH_HISTORICAL_TRAFFIC_MODEL_RISK | HIGH_W04_BASELINE_SIGNAL
3587,client_62f4a7e64f5e0096,content_51dccf21274f79bd,0.5594785416546859,1.0,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P2_Review,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,15165.0,15.0,7.742544606717007,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
3588,client_23a62021009f63c4,content_a9633bcf64839b52,0.5594393301726289,2.4,General Higher-Decline-Risk Review,Prioritize for diagnostic review of recent traffic trends and on-page content.,P2_Review,3.0,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,6935.0,12.0,26.929082750240664,33.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | HIGH_W04_BASELINE_SIGNAL
3589,client_23a62021009f63c4,content_d5ddabf359c362c6,0.5594123142719631,2.466666666666667,High Historical Traffic / Higher Decline Risk,"Review for substantive content freshness, factual accuracy, intent alignment, and technical issues.",P2_Review,5.0,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,16819.0,11.0,30.401364782446503,60.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | HIGH_HISTORICAL_TRAFFIC_MODEL_RISK | HIGH_W04_BASELINE_SIGNAL
3590,client_20259bd6705d81d4,content_9b52aa26a20de2b3,0.5593824355203739,2.5,Striking Distance / Search Visibility,"Review title/meta alignment, search intent, SERP competition, and page structure.",P2_Review,2.0,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,2945.0,37.0,12.926098676559041,43.0,HIGH_MODEL_DECLINE_RISK | STRIKING_DISTANCE_POS_8_20 | LOW_CTR_HIGH_SEARCH_IMPR | HIGH_W04_BASELINE_SIGNAL
3591,client_8ddc46da5414ffd8,content_29a633d2fc6a4797,0.5593164151425549,0.8095238095238095,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P2_Review,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,4101.0,21.0,4.1263766910636015,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
3592,client_0fa64a184f18a4a0,content_81e681e10b5592b9,0.5593075416876884,1.2758620689655173,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P2_Review,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,3835.0,22.0,4.378359747594037,20.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR
3593,client_62f4a7e64f5e0096,content_cba13e7b88ae4ece,0.559300885994016,1.0,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P2_Review,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,18896.0,23.0,4.532364154969558,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
3594,client_08a6a72ff48e62c0,content_a3b2fb46b874fc2c,0.5592803870337156,1.1333333333333333,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P2_Review,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,6363.0,19.0,5.6031517364954215,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
3595,client_62f4a7e64f5e0096,content_d0fb34818eacd47d,0.5592799539963386,1.2,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P2_Review,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,6945.0,17.0,6.730370534948259,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
3596,client_a80fca3f171ed1de,content_0c81308433671dad,0.5592646262637292,1.2333333333333334,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P2_Review,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,1882.0,10.0,5.597207948019038,10.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
3597,client_62f4a7e64f5e0096,content_8687618151490361,0.5592624860701509,1.0,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P2_Review,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,12029.0,28.0,3.0172473109259488,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
3598,client_73cda7b4e4f265ea,content_fae78bcc441ecbc8,0.5592408154541113,1.5666666666666667,Striking Distance / Search Visibility,"Review title/meta alignment, search intent, SERP competition, and page structure.",P2_Review,2.0,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,3555.0,10.0,10.400180252574367,16.0,HIGH_MODEL_DECLINE_RISK | STRIKING_DISTANCE_POS_8_20 | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
3599,client_e5c2aa26a8598242,content_ef354ad42889cfb6,0.559227831556804,2.5,Striking Distance / Search Visibility,"Review title/meta alignment, search intent, SERP competition, and page structure.",P2_Review,2.0,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,15419.0,51.0,17.724586179937933,68.0,HIGH_MODEL_DECLINE_RISK | STRIKING_DISTANCE_POS_8_20 | LOW_CTR_HIGH_SEARCH_IMPR | HIGH_HISTORICAL_TRAFFIC_MODEL_RISK | HIGH_W04_BASELINE_SIGNAL
3600,client_23a62021009f63c4,content_0b998aa2a6b537b7,0.5592232003902987,2.533333333333333,High Historical Traffic / Higher Decline Risk,"Review for substantive content freshness, factual accuracy, intent alignment, and technical issues.",P2_Review,5.0,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,4659.0,18.0,28.484936764757375,45.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | HIGH_HISTORICAL_TRAFFIC_MODEL_RISK | HIGH_W04_BASELINE_SIGNAL
3601,client_20259bd6705d81d4,content_c52e05e894df6e03,0.5592122702512077,2.2333333333333334,Striking Distance / Search Visibility,"Review title/meta alignment, search intent, SERP competition, and page structure.",P2_Review,2.0,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,22501.0,20.0,19.334370308265317,27.0,HIGH_MODEL_DECLINE_RISK | STRIKING_DISTANCE_POS_8_20 | LOW_CTR_HIGH_SEARCH_IMPR | HIGH_W04_BASELINE_SIGNAL
3602,client_23a62021009f63c4,content_d95fc005fe63c48a,0.5591213435121666,2.8,High Historical Traffic / Higher Decline Risk,"Review for substantive content freshness, factual accuracy, intent alignment, and technical issues.",P2_Review,5.0,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,13079.0,35.0,28.43775642754052,104.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | HIGH_HISTORICAL_TRAFFIC_MODEL_RISK | HIGH_W04_BASELINE_SIGNAL
3603,client_62f4a7e64f5e0096,content_c537bf56b4fb271f,0.5590768467213284,1.0,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P2_Review,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,4527.0,23.0,4.038670692149043,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
3604,client_08a6a72ff48e62c0,content_cf161e64ae1eabb4,0.559074169996283,1.0,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P2_Review,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,2003.0,19.0,4.545736222411492,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
3605,client_08a6a72ff48e62c0,content_1c6a90c0ca227a2b,0.5590675193184296,1.0,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P2_Review,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,8494.0,21.0,4.803686305292563,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
3606,client_62f4a7e64f5e0096,content_99bfff4c3606eece,0.559052519268882,1.0,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P2_Review,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,10026.0,15.0,7.41149782257328,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
3607,client_62f4a7e64f5e0096,content_c692e7b7344ff66e,0.5590425530759546,1.0,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P2_Review,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,32529.0,24.0,4.355568639659899,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
3608,client_8ddc46da5414ffd8,content_8ee1dcca91fe9a02,0.5590139304650809,0.8095238095238095,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P2_Review,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,1426.0,21.0,3.5470813074251386,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
3609,client_3f0ce4d44fe94f3d,content_7008c73a19a0b3b1,0.5590020115716823,1.7666666666666666,Striking Distance / Search Visibility,"Review title/meta alignment, search intent, SERP competition, and page structure.",P2_Review,2.0,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,1977.0,10.0,9.650132518684131,16.0,HIGH_MODEL_DECLINE_RISK | STRIKING_DISTANCE_POS_8_20 | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
3610,client_62f4a7e64f5e0096,content_395fdf19f891d207,0.5589838062338245,1.0,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P2_Review,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,3258.0,26.0,2.8381706745395507,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
3611,client_62f4a7e64f5e0096,content_7a6c7e6eaa38acfb,0.5589336421983202,1.1,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P2_Review,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,2506.0,20.0,5.509289838633323,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
3612,client_62f4a7e64f5e0096,content_c43270f0dbbb4efd,0.5589204544036134,1.0,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P2_Review,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,8605.0,23.0,4.294155413022983,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
3613,client_62f4a7e64f5e0096,content_ee5b27bf1bf4a9e6,0.558887083835119,1.0,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P2_Review,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,9784.0,24.0,4.259475641719284,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
3614,client_23a62021009f63c4,content_40656bb40c8f4818,0.5588827258064645,2.8,High Historical Traffic / Higher Decline Risk,"Review for substantive content freshness, factual accuracy, intent alignment, and technical issues.",P2_Review,5.0,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,9097.0,22.0,30.184657570094547,94.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | HIGH_HISTORICAL_TRAFFIC_MODEL_RISK | HIGH_W04_BASELINE_SIGNAL
3615,client_23a62021009f63c4,content_acf19ce8b500329d,0.5588557768417548,2.4,High Historical Traffic / Higher Decline Risk,"Review for substantive content freshness, factual accuracy, intent alignment, and technical issues.",P2_Review,5.0,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,10465.0,13.0,30.11242721409674,64.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | HIGH_HISTORICAL_TRAFFIC_MODEL_RISK | HIGH_W04_BASELINE_SIGNAL
3616,client_73cda7b4e4f265ea,content_08b41f43c6cb697e,0.558853663425295,1.3,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P2_Review,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,1075.0,10.0,5.271329922747079,11.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
3617,client_23a62021009f63c4,content_5fa30135c9812529,0.558839930596022,2.566666666666667,High Historical Traffic / Higher Decline Risk,"Review for substantive content freshness, factual accuracy, intent alignment, and technical issues.",P2_Review,5.0,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,6733.0,23.0,27.306180295881145,83.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | HIGH_HISTORICAL_TRAFFIC_MODEL_RISK | HIGH_W04_BASELINE_SIGNAL
3618,client_62f4a7e64f5e0096,content_32c9e36420c41a42,0.558800763815241,1.0,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P2_Review,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,5485.0,22.0,4.517622688815393,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
3619,client_08a6a72ff48e62c0,content_55592c698226567b,0.5587779357262526,1.1333333333333333,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P2_Review,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,10167.0,16.0,7.05224460234061,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
3620,client_23a62021009f63c4,content_4e1e850040e77491,0.5587474960797741,2.466666666666667,High Historical Traffic / Higher Decline Risk,"Review for substantive content freshness, factual accuracy, intent alignment, and technical issues.",P2_Review,5.0,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,6619.0,21.0,28.525685149147325,57.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | HIGH_HISTORICAL_TRAFFIC_MODEL_RISK | HIGH_W04_BASELINE_SIGNAL
3621,client_8ddc46da5414ffd8,content_3b9c3ce2e8346a1f,0.5587457608212704,1.103448275862069,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P2_Review,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,2175.0,13.0,7.5810269392684875,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
3622,client_8ddc46da5414ffd8,content_50d7efc64e8477e2,0.5587399720318273,0.9090909090909091,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P2_Review,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,2021.0,15.0,6.407795453325019,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
3623,client_a80fca3f171ed1de,content_d0ba139299a69bbc,0.5587047336823892,1.2666666666666666,General Higher-Decline-Risk Review,Prioritize for diagnostic review of recent traffic trends and on-page content.,P2_Review,3.0,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,817.0,12.0,6.288527995717922,11.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR
3624,client_8ddc46da5414ffd8,content_ad38a8f1c73431ac,0.558631259812316,0.76,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P2_Review,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,1176.0,19.0,4.219643532267458,0.0,HIGH_MODEL_DECLINE_RISK | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
3625,client_73cda7b4e4f265ea,content_56947f122d5fb1f4,0.558625628949291,0.7,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P2_Review,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,1345.0,11.0,3.6939152860549367,10.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
3626,client_86ebc2f12c01f586,content_16bf954dbf1dd04f,0.5585806770052395,1.3125,Striking Distance / Search Visibility,"Review title/meta alignment, search intent, SERP competition, and page structure.",P2_Review,2.0,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,3563.0,16.0,8.582110296285226,21.0,HIGH_MODEL_DECLINE_RISK | STRIKING_DISTANCE_POS_8_20 | LOW_CTR_HIGH_SEARCH_IMPR
3627,client_62f4a7e64f5e0096,content_c3b6134a07c5b2d3,0.5584689942432506,1.5333333333333334,Striking Distance / Search Visibility,"Review title/meta alignment, search intent, SERP competition, and page structure.",P2_Review,2.0,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,3642.0,10.0,10.56094608033936,0.0,HIGH_MODEL_DECLINE_RISK | STRIKING_DISTANCE_POS_8_20 | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
3628,client_e5c2aa26a8598242,content_b5b43275cf4d9f2a,0.5584568151695172,1.9333333333333333,Striking Distance / Search Visibility,"Review title/meta alignment, search intent, SERP competition, and page structure.",P2_Review,2.0,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE,3137.0,23.0,9.679148112508335,26.0,HIGH_MODEL_DECLINE_RISK | STRIKING_DISTANCE_POS_8_20 | LOW_CTR_HIGH_SEARCH_IMPR
